,Name,Party,Handle,Colour,Created,Followers,Tweets
71,Brendan Griffin,FG,BGriffinTD,#6699FF,2010-09-18 21:34:23,3477,1319
72,John Halligan,IND,JohnHalligan,Black,2010-02-22 21:27:37,3367,2917
73,Simon Harris,FG,SimonHarrisTD,#6699FF,2009-02-17 18:58:49,15486,7963
74,Michael Harty,IND,voteharty16,Black,2016-01-21 20:04:18,958,559
75,Seán Haughey,FF,sean_haughey,#66BB66,2012-02-28 20:56:37,1893,2409
76,Séamus Healy,WUA,SeamusHealyTD,#D73D3D,2011-10-17 18:17:12,1431,2671
77,Danny Healy-Rae,IND,None,Black,2007-03-23 04:26:15,2,197
78,Michael Healy-Rae,IND,mhealyrae,Black,2011-08-01 15:48:35,7537,1845
79,Martin Heydon,FG,martinheydonfg,#6699FF,2010-04-26 14:55:00,4295,1883
80,Brendan Howlin,LAB,None,#CC0000,2007-03-23 04:26:15,2,197
81,Heather Humphreys,FG,HHumphreysFG,#6699FF,2014-09-05 11:29:42,3640,1185
82,Paul Kehoe,FG,campaign4kehoe,#6699FF,2011-07-02 09:59:00,4393,2230
83,Billy Kelleher,FF,billykellehertd,#66BB66,2012-03-14 14:52:50,3630,1172
84,Alan Kelly,LAB,alankellylabour,#CC0000,2010-02-22 11:34:28,8105,3538
85,Enda Kenny,FG,endakennytd,#6699FF,2010-04-21 14:25:46,51206,532
86,Gino Kenny,PBP,ginosocialist,#E5E500,2009-03-08 16:11:59,854,429
87,Martin Kenny,SF,Martin_Kenny,#008800,2010-03-08 12:04:58,1474,1916
88,Seán Kyne,FG,seankyneTD,#6699FF,2011-06-13 07:41:27,3248,3264
89,John Lahart,FF,johnlahart,#66BB66,2009-10-25 21:38:34,1225,771
90,James Lawless,FF,lawlessj,#66BB66,2008-12-30 23:26:15,2929,17012
91,Michael Lowry,IND,michael_lowry,Black,2010-01-11 10:23:16,3744,620
92,Marc MacSharry,FF,MarcMacsharryTD,#66BB66,2011-01-27 13:39:21,1691,867
93,Josepha Madigan,FG,josephamadigan,#6699FF,2013-10-26 10:22:59,2313,7001
94,Catherine Martin,GRN,cathmartingreen,#99CC33,2013-02-14 13:15:14,3101,2575
95,Micheál Martin,FF,MichealMartinTD,#66BB66,2010-02-13 19:47:33,19606,1007
96,Charlie McConalogue,FF,McConalogue,#66BB66,2010-10-02 19:31:01,3728,499
97,Mary Lou McDonald,SF,MaryLouMcDonald,#008800,2010-05-27 20:51:35,29817,6289
98,Helen McEntee,FG,HMcEntee,#6699FF,2009-05-05 19:38:37,5388,1531
99,Finian McGrath,IND,Finianmcgrathtd,Black,2011-11-20 19:41:13,3144,2049
100,Mattie McGrath,IND,mattiemcgrathtd,Black,2010-03-09 09:06:45,2784,993
101,Michael McGrath,FF,DeputyMcGrathTD,#66BB66,2014-10-04 17:55:56,2359,1618
102,John McGuinness,FF,JMcGuinnessTD,#66BB66,2011-02-07 23:31:48,982,546
103,Joe McHugh,FG,joe_mchugh_td,#6699FF,2011-01-11 17:08:20,5482,4681
104,Tony McLoughlin,FG,TonyMcLTD,#6699FF,2014-09-05 08:59:34,1392,1139
105,Denise Mitchell,SF,DMitchellTD,#008800,2015-06-05 12:11:02,943,449
106,Mary Mitchell O'Connor,FG,mitchelloconnor,#6699FF,2009-11-25 13:31:45,8053,10866
107,Kevin  Moran,IND,None,Black,2007-03-23 04:26:15,2,197
108,Aindrias Moynihan,FF,None,#66BB66,2007-03-23 04:26:15,2,197
109,Michael Moynihan,FF,mmoynihantd,#66BB66,2015-10-15 10:44:47,520,134
110,Imelda Munster,SF,None,#008800,2007-03-23 04:26:15,2,197
111,Catherine Murphy,SD,CathMurphyTD,#752F8B,2010-09-15 10:13:09,14689,7236
112,Dara Murphy,FG,DaraMurphyFG,#6699FF,2011-01-13 17:04:52,2205,1264
113,Eoghan Murphy,FG,MurphyEoghan,#6699FF,2010-01-30 23:33:45,6990,3862
114,Eugene Murphy,FF,EugeneMurphyTD,#66BB66,2015-01-19 19:52:28,838,806
